name,website,industry,size_range,current_employee_estimate,total_employee_estimate,country,locality,region,year_founded,linkedin_url
ibm,ibm.com,information technology and services,10001+,274047,716906,united states,new york,new york,1911,linkedin.com/company/ibm
tata consultancy services,tcs.com,information technology and services,10001+,190771,341369,india,bombay,maharashtra,1968,linkedin.com/company/tata-consultancy-services
accenture,accenture.com,information technology and services,10001+,190689,455768,ireland,dublin,dublin,1989,linkedin.com/company/accenture
us army,goarmy.com,military,10001+,162163,445958,united states,alexandria,virginia,1800,linkedin.com/company/us-army
ey,ey.com,accounting,10001+,158363,428960,united kingdom,london,greater london,1989,linkedin.com/company/ernstandyoung
hewlett-packard,hpe.com,information technology and services,10001+,127952,412952,united states,palo alto,california,1939,linkedin.com/company/hewlett-packard-enterprise
cognizant technology solutions,cognizant.com,information technology and services,10001+,122031,210020,united states,teaneck,new jersey,1994,linkedin.com/company/cognizant
walmart,walmartcareers.com,retail,10001+,120753,272827,united states,withee,wisconsin,1962,linkedin.com/company/walmart
microsoft,microsoft.com,computer software,10001+,116196,276983,united states,redmond,washington,1975,linkedin.com/company/microsoft
at&t,att.com,telecommunications,10001+,115188,269659,united states,dallas,texas,1876,linkedin.com/company/at&t
united states air force,airforce.com,defense & space,10001+,113997,316549,united states,randolph,texas,1947,linkedin.com/company/united-states-air-force
pwc,pwc.com,accounting,10001+,111372,379447,united states,new york,new york,1998,linkedin.com/company/pwc
wells fargo,wellsfargo.com,financial services,10001+,109532,264101,united states,san francisco,california,,linkedin.com/company/wellsfargo
infosys,infosys.com,information technology and services,10001+,104752,215718,india,bangalore,karnataka,1981,linkedin.com/company/infosys
deloitte,deloitte.com,management consulting,10001+,104112,329145,united states,new york,new york,1900,linkedin.com/company/deloitte
citi,citigroup.com,financial services,10001+,101482,298171,united states,new york,new york,1812,linkedin.com/company/citi
bank of america,bankofamerica.com,banking,10001+,97357,279769,united states,charlotte,north carolina,1968,linkedin.com/company/bank-of-america
jpmorgan chase & co.,jpmorganchase.com,financial services,10001+,95234,242135,united states,new york,new york,1823,linkedin.com/company/jpmorgan-chase
us navy,navy.com,military,10001+,94458,325740,united states,washington,district of columbia,,linkedin.com/company/us-navy
amazon,amazon.com,internet,10001+,93247,161866,united states,seattle,washington,1994,linkedin.com/company/amazon
apple,apple.com,consumer electronics,10001+,90095,179531,united states,cupertino,california,1976,linkedin.com/company/apple
siemens,siemens.com,electrical/electronic manufacturing,10001+,87381,240528,germany,munich,bavaria,1847,linkedin.com/company/siemens
oracle,oracle.com,information technology and services,10001+,85090,206211,united states,redwood shores,california,1977,linkedin.com/company/oracle
nokia,nokia.com,telecommunications,10001+,84327,251795,finland,espoo,uusimaa,1865,linkedin.com/company/nokia
education nationale,education.gouv.fr,public policy,10001+,84218,101083,france,paris,île-de-france,,linkedin.com/company/education-nationale
capgemini,capgemini.com,information technology and services,10001+,84179,203525,france,france,aquitaine,1967,linkedin.com/company/capgemini
wipro technologies,wipro.com,information technology and services,10001+,78261,177368,india,bangalore,karnataka,1945,linkedin.com/company/wipro
hsbc,hsbc.com,financial services,10001+,75640,225649,united kingdom,london,greater london,1865,linkedin.com/company/hsbc
google,google.com,internet,10001+,75109,131349,united states,mountain view,california,1998,linkedin.com/company/google
united states postal service,usps.com,government administration,10001+,74357,104159,united states,washington,district of columbia,,linkedin.com/company/usps
mcdonald's corporation,aboutmcdonalds.com,restaurants,10001+,68233,235199,united states,oak brook,illinois,1955,linkedin.com/company/mcdonald's-corporation
ericsson,ericsson.com,information technology and services,10001+,67692,178578,sweden,kista,stockholm,,linkedin.com/company/ericsson
nhs,,hospital & health care,10001+,67564,92596,,,,1948,linkedin.com/company/nhs
boeing,boeing.com,aviation & aerospace,10001+,67261,120776,united states,chicago,illinois,1916,linkedin.com/company/boeing
vodafone,vodafone.com,telecommunications,10001+,66632,174892,united kingdom,berks,west berkshire,1982,linkedin.com/company/vodafone
kaiser permanente,kaiserpermanente.org,hospital & health care,10001+,65839,105240,united states,oakland,california,1945,linkedin.com/company/kaiser-permanente
ford motor company,ford.com,automotive,10001+,65335,133963,united states,dearborn,michigan,1903,linkedin.com/company/ford-motor-company
intel corporation,intel.com,semiconductors,10001+,64046,146247,united states,santa clara,california,1968,linkedin.com/company/intel-corporation
department of veterans affairs,va.gov,government administration,10001+,62685,86489,united states,washington,district of columbia,1930,linkedin.com/company/department-of-veterans-affairs
cisco,cisco.com,computer networking,10001+,61803,139423,united states,san jose,california,1984,linkedin.com/company/cisco
general motors,gm.com,automotive,10001+,61638,128429,united states,detroit,michigan,,linkedin.com/company/general-motors
pepsico,pepsico.com,food & beverages,10001+,61040,146820,united states,purchase,new york,1965,linkedin.com/company/pepsico
target,target.com,retail,10001+,60602,204360,united states,minneapolis,minnesota,1962,linkedin.com/company/target
shell,shell.com,oil & energy,10001+,60324,147906,netherlands,the hague,zuid-holland,1833,linkedin.com/company/shell
hcl technologies,hcltech.com,information technology and services,10001+,59993,127468,india,noida,uttar pradesh,1991,linkedin.com/company/hcl-technologies
ups,ups.com,transportation/trucking/railroad,10001+,59712,132381,united states,atlanta,georgia,1907,linkedin.com/company/ups
pfizer,pfizer.com,pharmaceuticals,10001+,59588,176364,united states,new york,new york,1848,linkedin.com/company/pfizer
unilever,unilever.com,consumer goods,10001+,58819,168219,united kingdom,london,greater london,1872,linkedin.com/company/unilever
nestlé,nestle.com,food & beverages,10001+,58538,139821,switzerland,vevey,vaud,1866,linkedin.com/company/nestle-s-a-
unitedhealth group,unitedhealthgroup.com,hospital & health care,10001+,57720,103293,united states,minneapolis,minnesota,1980,linkedin.com/company/unitedhealth-group
huawei technologies,huawei.com,telecommunications,10001+,57255,113434,china,shenzhen,guangdong,1987,linkedin.com/company/huawei
dell,dell.com,information technology and services,10001+,55945,164468,united states,round rock,texas,1984,linkedin.com/company/dell
gsk,gsk.com,pharmaceuticals,10001+,54117,147725,united kingdom,hayes,hillingdon,1830,linkedin.com/company/glaxosmithkline
honeywell,honeywell.com,electrical/electronic manufacturing,10001+,51721,123249,united states,morristown,new jersey,1985,linkedin.com/company/honeywell
sap,sap.com,computer software,10001+,51441,102773,,,,1972,linkedin.com/company/sap